Name,Price,Store Price,Store Base Price
Fracture Case,99,99,76
Dreams & Nightmares Case,203,232,166
★ Moto Gloves | Spearmint (Field-Tested),500758,503197,275889
★ Butterfly Knife | Gamma Doppler Phase 2 (Factory New),472172,492138,263660
M4A1-S | Knight (Factory New),538876,538876,314455
AK-47 | Hydroponic (Factory New),999753,1032842,551765
M4A1-S | Fade (Factory New),57041,57041,40250
★ Nomad Knife | Tiger Tooth (Factory New),37893,37893,27304
AK-47 | Inheritance (Field-Tested),7965,7965,5936
Desert Eagle | Printstream (Field-Tested),6840,6840,5060
AK-47 | The Empress (Field-Tested),16484,16484,14129
★ Butterfly Knife | Bright Water (Field-Tested),103869,103869,79200
Souvenir SSG 08 | Death Strike (Battle-Scarred),29800,29800,29800
★ Kukri Knife | Fade (Factory New),34211,34211,25462
AWP | Printstream (Field-Tested),8770,8770,6733
AK-47 | Asiimov (Field-Tested),7385,7385,5755
AWP | Queen's Gambit (Well-Worn),10316,10316,8019
★ Survival Knife | Marble Fade (Factory New),23427,23427,17948
★ Skeleton Knife | Rust Coat (Battle-Scarred),24749,24749,18631
USP-S | Printstream (Field-Tested),7206,7206,5500
AK-47 | Inheritance (Minimal Wear),12408,12408,9534
M4A1-S | Flashback (Factory New),33846,33846,25679
★ M9 Bayonet | Tiger Tooth (Factory New),130943,130943,102842
★ Skeleton Knife,48983,48983,36728
★ Hand Wraps | Duct Tape (Field-Tested),9141,9141,7102
AK-47 | Redline (Field-Tested),5521,5521,4312
SSG 08 | Dragonfire (Minimal Wear),54852,54852,45443
★ Sport Gloves | Amphibious (Field-Tested),65721,65721,47421
★ Specialist Gloves | Mogul (Field-Tested),19841,19841,15400
AK-47 | Neon Rider (Field-Tested),8423,8423,6273
★ Huntsman Knife | Lore (Field-Tested),17553,17553,12776
M4A4 | Neo-Noir (Field-Tested),6400,6400,5000
★ Flip Knife | Marble Fade (Factory New),51434,51434,39426
★ Hand Wraps | Cobalt Skulls (Field-Tested),42135,42135,31055
★ Driver Gloves | Overtake (Field-Tested),9907,9907,7475
★ Specialist Gloves | Buckshot (Field-Tested),9413,9413,7215
StatTrak™ AWP | Neo-Noir (Field-Tested),9195,9195,7200
★ Huntsman Knife | Marble Fade (Factory New),36108,36108,26999
★ Flip Knife | Tiger Tooth (Factory New),41413,41413,30789
AK-47 | Asiimov (Minimal Wear),10091,10091,7994
M4A1-S | Vaporwave (Field-Tested),9870,9870,7599
AWP | Atheris (Factory New),9984,9984,7575
★ Huntsman Knife | Autotronic (Field-Tested),19050,19050,14287
★ Nomad Knife,25046,25046,20700
★ Falchion Knife | Lore (Field-Tested),18116,18116,13999
★ Survival Knife,9916,9916,7985
★ Moto Gloves | Transport (Well-Worn),7254,7254,5658
★ Gut Knife | Marble Fade (Factory New),21689,21689,17438
AK-47 | Vulcan (Field-Tested),35604,35604,27836
★ Hydra Gloves | Case Hardened (Field-Tested),11892,11892,9965
AWP | Printstream (Well-Worn),7485,7485,5860
★ Survival Knife | Forest DDPAT (Field-Tested),8107,8107,6750
★ Butterfly Knife | Scorched (Field-Tested),86873,86873,65650
★ Kukri Knife,18363,18363,14272
AK-47 | Crane Flight (Field-Tested),3434,3434,2415
★ Kukri Knife | Crimson Web (Field-Tested),16296,16296,13042
★ Moto Gloves | 3rd Commando Company (Battle-Scarred),4862,7341,5621
★ Stiletto Knife,40283,40283,30637
★ Stiletto Knife | Rust Coat (Battle-Scarred),24246,24246,19600
★ Talon Knife | Safari Mesh (Field-Tested),37146,39946,27740
★ Driver Gloves | Queen Jaguar (Field-Tested),9927,9927,7130
AK-47 | Inheritance (Battle-Scarred),6406,6406,4773
★ Moto Gloves | 3rd Commando Company (Well-Worn),8010,8010,6400
★ Bayonet | Rust Coat (Battle-Scarred),23140,23140,18269
★ Bayonet | Tiger Tooth (Factory New),55103,55103,44133
AWP | Wildfire (Field-Tested),8487,8487,6474
★ Driver Gloves | Racing Green (Field-Tested),6084,6084,4600
M4A1-S | Vaporwave (Well-Worn),8751,8751,7712
★ Sport Gloves | Vice (Battle-Scarred),50397,50397,41000
★ Specialist Gloves | Fade (Field-Tested),38435,38435,30828
AK-47 | The Oligarch (Field-Tested),11344,11344,8384
Desert Eagle | Printstream (Minimal Wear),8585,8585,6671
MAC-10 | Fade (Factory New),10698,10698,8537
AK-47 | Head Shot (Battle-Scarred),4619,5654,3791
★ Bowie Knife | Marble Fade (Factory New),31028,31028,24184
★ Bowie Knife | Tiger Tooth (Factory New),23295,23295,19000
★ Moto Gloves | Transport (Field-Tested),7075,7075,5862
AWP | Asiimov (Battle-Scarred),13459,13459,10450
P250 | Vino Primo (Factory New),4958,4958,3988
★ Butterfly Knife | Forest DDPAT (Field-Tested),86148,86148,63462
★ Falchion Knife | Autotronic (Field-Tested),17990,17990,14711
AK-47 | Frontside Misty (Field-Tested),3025,3025,2283
★ Hand Wraps | Arboreal (Field-Tested),8825,8825,6574
AK-47 | Legion of Anubis (Factory New),9583,9583,7696
★ Driver Gloves | King Snake (Battle-Scarred),20081,20081,15916
★ Nomad Knife | Rust Coat (Battle-Scarred),17854,17854,14148
★ Broken Fang Gloves | Unhinged (Field-Tested),10806,10806,8620
★ Broken Fang Gloves | Needle Point (Field-Tested),9179,9179,7185
Glock-18 | Ironwork (Factory New),13274,13274,10220
AWP | Asiimov (Field-Tested),21942,21942,17599
★ Hand Wraps | Overprint (Field-Tested),19795,19795,15448
★ Falchion Knife | Black Laminate (Field-Tested),11950,11950,9450
★ Huntsman Knife | Freehand (Field-Tested),6523,13182,8881
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred),8508,8508,6387
★ Specialist Gloves | Lt. Commander (Field-Tested),20450,20450,16991
★ Butterfly Knife | Black Laminate (Field-Tested),125230,125230,95500
★ Paracord Knife,10363,10363,8150
AWP | Printstream (Minimal Wear),14062,14062,10899
★ Kukri Knife | Safari Mesh (Minimal Wear),4653,8169,6851
★ Skeleton Knife | Boreal Forest (Field-Tested),20717,20717,16900
★ Nomad Knife | Fade (Factory New),58654,58654,44244
★ Falchion Knife | Bright Water (Field-Tested),12285,12285,9700
★ Huntsman Knife | Bright Water (Field-Tested),10514,10514,8270
StatTrak™ AWP | Worm God (Field-Tested),839,839,692
★ Paracord Knife | Fade (Factory New),27805,27805,22800
★ Flip Knife | Lore (Field-Tested),31234,31234,24955
AWP | Queen's Gambit (Field-Tested),11666,11666,8450
★ Moto Gloves | 3rd Commando Company (Field-Tested),8113,8113,6267
AK-47 | Safety Net (Minimal Wear),837,837,649
AK-47 | The Empress (Minimal Wear),18183,18183,14843
★ Specialist Gloves | Crimson Web (Battle-Scarred),19483,19483,14272
AK-47 | Aquamarine Revenge (Field-Tested),7151,7151,5502
★ Hydra Gloves | Emerald (Field-Tested),6611,6611,5056
AWP | Chrome Cannon (Minimal Wear),6697,6697,5445
★ Gut Knife | Tiger Tooth (Factory New),18030,18030,14000
AK-47 | Case Hardened (Minimal Wear),49976,49976,49999
★ Navaja Knife | Tiger Tooth (Factory New),12804,12804,10000
★ Bowie Knife | Bright Water (Field-Tested),9711,9711,7422
AK-47 | Aquamarine Revenge (Factory New),36303,36303,31500
★ Kukri Knife | Case Hardened (Field-Tested),18227,18227,14444
★ Skeleton Knife | Safari Mesh (Field-Tested),20826,20826,16100
★ Survival Knife | Slaughter (Minimal Wear),21321,22350,17000
★ Hydra Gloves | Mangrove (Field-Tested),5809,5809,4662
★ Broken Fang Gloves | Yellow-banded (Field-Tested),9373,9373,7835
★ Bowie Knife | Night (Field-Tested),10996,10996,9000
★ Bayonet | Damascus Steel (Field-Tested),30133,30133,23900
M4A1-S | Printstream (Minimal Wear),52442,52442,42278
M4A4 | Desolate Space (Field-Tested),2511,2511,1832
★ Bowie Knife | Autotronic (Field-Tested),15386,15386,12155
★ Bayonet | Crimson Web (Battle-Scarred),33064,33064,28010
★ Driver Gloves | Black Tie (Battle-Scarred),19452,19452,15191
AK-47 | The Oligarch (Minimal Wear),21028,21028,16000
★ Kukri Knife | Urban Masked (Field-Tested),8539,8539,6642
★ Sport Gloves | Bronze Morph (Battle-Scarred),16627,16627,12765
AK-47 | The Empress (Well-Worn),16215,16215,13129
★ Kukri Knife | Case Hardened (Minimal Wear),21755,21755,16215
★ Shadow Daggers | Marble Fade (Factory New),17487,17487,15203
★ Hand Wraps | Desert Shamagh (Field-Tested),8022,8022,6052
★ Falchion Knife | Freehand (Field-Tested),14059,14059,11000
★ StatTrak™ Kukri Knife | Safari Mesh (Field-Tested),7918,7918,6640
★ Driver Gloves | Snow Leopard (Battle-Scarred),39576,39576,33633
★ Ursus Knife | Doppler Phase 3 (Factory New),46233,46233,25126
★ Hydra Gloves | Rattler (Field-Tested),5811,5811,4555
Desert Eagle | Printstream (Battle-Scarred),6279,6279,4901
Glock-18 | Water Elemental (Field-Tested),3094,3094,2498
Primeiro Tenente | Brazilian 1st Battalion,22785,22785,17123
★ Specialist Gloves | Crimson Web (Well-Worn),24736,24736,19975
AK-47 | Neon Rider (Minimal Wear),13829,13829,10802
Sir Bloody Skullhead Darryl | The Professionals,6839,6839,5078
Health Pin,3818,3818,2993
★ Flip Knife | Bright Water (Field-Tested),23004,23004,18155
★ Shadow Daggers | Gamma Doppler Phase 4 (Factory New),19542,19542,10861
★ Survival Knife | Rust Coat (Battle-Scarred),7624,7624,6195
AK-47 | Aphrodite (Field-Tested),3639,3639,2991
StatTrak™ Desert Eagle | Printstream (Battle-Scarred),9934,9934,8139
★ Flip Knife | Doppler Phase 4 (Factory New),65345,65345,35871
★ Sport Gloves | Scarlet Shamagh (Well-Worn),34952,34952,26832
★ Huntsman Knife | Black Laminate (Field-Tested),12134,12134,9136
★ Hand Wraps | Giraffe (Field-Tested),8437,8437,6552
AWP | Chromatic Aberration (Battle-Scarred),4947,4947,3986
M4A1-S | Icarus Fell (Factory New),107548,107548,82507
★ Specialist Gloves | Blackbook (Field-Tested),60594,60594,44856
★ Ursus Knife | Rust Coat (Battle-Scarred),10265,10265,7808
M4A4 | Temukau (Field-Tested),5901,5901,4643
M4A1-S | Basilisk (Factory New),9934,9934,7992
★ Specialist Gloves | Fade (Battle-Scarred),21998,21998,17566
AK-47 | Case Hardened (Well-Worn),34493,34493,26616
★ Falchion Knife | Rust Coat (Battle-Scarred),10456,10456,8300
Special Agent Ava | FBI,3641,3641,2711
FAMAS | Bad Trip (Factory New),13591,13591,12146
★ Gut Knife | Fade (Factory New),23717,23717,19324
AK-47 | Inheritance (Factory New),23575,23575,18251
★ Shadow Daggers | Lore (Field-Tested),10023,10023,8100
★ Kukri Knife | Forest DDPAT (Field-Tested),7990,7990,6368
USP-S | Blueprint (Factory New),26434,26434,20433
★ Bayonet | Autotronic (Battle-Scarred),47340,47340,38591
★ Ursus Knife | Fade (Factory New),38160,38160,30257
AWP | Neo-Noir (Field-Tested),7029,7029,5642
AK-47 | Point Disarray (Field-Tested),2390,2390,1808
AWP | Electric Hive (Factory New),26298,26298,21850
★ Huntsman Knife | Lore (Minimal Wear),21072,21072,17034
★ StatTrak™ Talon Knife | Tiger Tooth (Factory New),97519,97519,79922
★ Bowie Knife | Freehand (Field-Tested),11863,11863,9324
★ Kukri Knife | Boreal Forest (Field-Tested),7789,7789,6317
★ Gut Knife | Freehand (Factory New),12706,12706,11500
★ Karambit | Urban Masked (Field-Tested),81959,81959,61322
AWP | Desert Hydra (Factory New),326290,326290,182009
Lt. Commander Ricksaw | NSWC SEAL,4287,4287,3200
AWP | Crakow! (Field-Tested),5075,5075,3779
UMP-45 | K.O. Factory (Minimal Wear),1109,1109,952
★ Bowie Knife | Lore (Minimal Wear),20639,20639,17376
M4A4 | Full Throttle (Minimal Wear),18204,18204,13472
★ Kukri Knife | Blue Steel (Field-Tested),14505,14505,11482
★ Shadow Daggers | Autotronic (Field-Tested),8488,8488,6770
★ Paracord Knife | Scorched (Field-Tested),8035,8035,6400
★ Shadow Daggers | Gamma Doppler Phase 2 (Factory New),19934,19934,11480
★ Shadow Daggers | Tiger Tooth (Factory New),14179,14179,10962
AWP | Hyper Beast (Field-Tested),6083,6083,4727
M4A1-S | Moss Quartz (Factory New),23854,23854,20097
★ Moto Gloves | POW! (Field-Tested),18341,18341,14375
★ Moto Gloves | Finish Line (Field-Tested),18380,18380,14200
★ Kukri Knife | Night Stripe (Field-Tested),8846,9787,7300
AWP | Neo-Noir (Minimal Wear),7872,9168,6237
FAMAS | Cyanospatter (Factory New),3381,3381,2555
★ Ursus Knife | Case Hardened (Field-Tested),21358,21358,15986
★ Flip Knife | Damascus Steel (Field-Tested),23618,23618,20000
★ Kukri Knife | Stained (Field-Tested),11799,12962,9581
★ Bowie Knife | Black Laminate (Field-Tested),9815,10923,7958
P90 | Deathgaze (Field-Tested),1055,1055,867
★ Nomad Knife | Case Hardened (Minimal Wear),35319,35319,30079
★ Flip Knife | Rust Coat (Battle-Scarred),21082,21082,17470
★ Navaja Knife | Marble Fade (Factory New),17084,19146,13221
★ Paracord Knife | Crimson Web (Field-Tested),16210,17161,12561
UMP-45 | Primal Saber (Field-Tested),1877,1877,1565
★ Hand Wraps | Cobalt Skulls (Minimal Wear),77932,77932,65546
★ Specialist Gloves | Marble Fade (Well-Worn),24582,26754,20396
★ Skeleton Knife | Case Hardened (Minimal Wear),57977,57977,47322
★ Huntsman Knife | Rust Coat (Battle-Scarred),9351,10796,7530
M4A4 | The Emperor (Field-Tested),9701,10895,7569
XM1014 | Solitude (Factory New),11075,11075,8942
Glock-18 | Fully Tuned (Minimal Wear),22789,22789,17200
★ Butterfly Knife | Ultraviolet (Battle-Scarred),94120,94120,77223
USP-S | Printstream (Battle-Scarred),5934,6578,4804
Safecracker Voltzmann | The Professionals,3501,3916,2610
Sawed-Off | Kiss♥Love (Factory New),3134,3134,2513
★ Bayonet | Safari Mesh (Field-Tested),21592,21592,18181
★ M9 Bayonet | Scorched (Field-Tested),56986,56986,43980
USP-S | Printstream (Minimal Wear),11403,12722,8795
★ Survival Knife | Damascus Steel (Field-Tested),10690,11643,8822
AK-47 | Nightwish (Battle-Scarred),10277,10277,8200
★ Falchion Knife | Slaughter (Minimal Wear),35083,35083,31971
★ Bowie Knife | Autotronic (Minimal Wear),18121,18121,14691
AWP | Printstream (Battle-Scarred),7238,8233,5800
AWP | Green Energy (Field-Tested),1868,2010,1384
AK-47 | Asiimov (Battle-Scarred),6817,6817,5556
★ Hydra Gloves | Case Hardened (Minimal Wear),18587,18587,13702
★ Flip Knife | Black Laminate (Field-Tested),23790,23790,18382
M4A1-S | Player Two (Minimal Wear),10781,11917,9660
M4A4 | Temukau (Minimal Wear),10980,11886,8525
FAMAS | Rapid Eye Movement (Battle-Scarred),629,973,808
★ Driver Gloves | Queen Jaguar (Minimal Wear),20359,20359,17500
AWP | BOOM (Minimal Wear),28352,29646,23155
★ Bowie Knife | Lore (Well-Worn),14829,17269,11445
Glock-18 | Fully Tuned (Field-Tested),11390,12508,8942
Sawed-Off | Kiss♥Love (Minimal Wear),1020,1020,897
★ Skeleton Knife | Forest DDPAT (Battle-Scarred),20498,20498,16438
M4A4 | Eye of Horus (Field-Tested),60657,60657,54241
★ Paracord Knife | Rust Coat (Battle-Scarred),7683,8679,6260
★ Gut Knife | Lore (Field-Tested),14869,16274,11583
Dual Berettas | Melondrama (Minimal Wear),1268,1268,1047
M4A1-S | Printstream (Well-Worn),33052,33052,27600
★ Ursus Knife,18840,18840,14444
AK-47 | Aphrodite (Well-Worn),2334,2519,1772
★ Kukri Knife | Safari Mesh (Field-Tested),7491,8487,5847
Galil AR | Black Sand (Minimal Wear),825,825,646
★ Skeleton Knife | Forest DDPAT (Minimal Wear),22970,22970,19000
AK-47 | B the Monster (Factory New),107052,107052,79254
AK-47 | Nouveau Rouge (Field-Tested),2061,2189,1536
M4A1-S | Decimator (Field-Tested),2249,2438,1725
Glock-18 | Snack Attack (Field-Tested),3224,3224,2685
★ Bayonet | Ultraviolet (Minimal Wear),37746,37746,32322
★ Survival Knife | Case Hardened (Minimal Wear),19719,20303,14843
★ Bowie Knife | Fade (Factory New),39254,39254,30593
★ Survival Knife | Urban Masked (Field-Tested),9209,9901,7494
AK-47 | Slate (Field-Tested),772,865,579
★ Huntsman Knife | Fade (Factory New),44714,44714,35611
★ Specialist Gloves | Crimson Web (Minimal Wear),61708,61708,48296
M4A1-S | Black Lotus (Minimal Wear),1411,1638,1092
★ Falchion Knife | Black Laminate (Well-Worn),11472,12895,9000
★ Falchion Knife | Marble Fade (Minimal Wear),41447,41447,32311
AWP | Man-o'-war (Minimal Wear),19633,19633,16850
AWP | Chrome Cannon (Field-Tested),5393,5858,3992
StatTrak™ AK-47 | Inheritance (Field-Tested),15806,16876,11715
★ Bayonet | Ultraviolet (Battle-Scarred),23735,23735,20103
M4A1-S | Chantico's Fire (Minimal Wear),20678,20678,16829
★ Huntsman Knife | Bright Water (Minimal Wear),6338,13021,10131
AK-47 | Midnight Laminate (Minimal Wear),1863,1863,1347
★ StatTrak™ Kukri Knife | Fade (Factory New),36867,36867,28060
M4A1-S | Vaporwave (Factory New),37389,37389,27467
M4A1-S | Nightmare (Field-Tested),901,1898,1296
StatTrak™ AK-47 | Head Shot (Field-Tested),5590,5590,4255
★ Specialist Gloves | Field Agent (Well-Worn),21071,21071,16300
★ Nomad Knife | Case Hardened (Battle-Scarred),26148,26148,21335
AWP | Redline (Field-Tested),6575,7412,5117
USP-S | The Traitor (Field-Tested),6258,7066,4957
M4A1-S | Cyrex (Minimal Wear),32028,32028,25119
★ StatTrak™ Huntsman Knife | Lore (Field-Tested),18557,18557,15147
★ Kukri Knife | Case Hardened (Well-Worn),17137,18421,13340
★ Survival Knife | Case Hardened (Field-Tested),16287,17767,13129
★ Paracord Knife | Case Hardened (Minimal Wear),21257,21257,16629
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested),51557,51557,44990
Desert Eagle | Kumicho Dragon (Field-Tested),1815,3737,2647
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,7979,8478,6064
★ Nomad Knife | Stained (Minimal Wear),23230,23230,18071
★ Bowie Knife | Slaughter (Minimal Wear),33166,33166,29000
AWP | Crakow! (Minimal Wear),10111,11140,7996
★ Kukri Knife | Scorched (Field-Tested),8015,9139,6325
★ Shadow Daggers | Doppler Ruby (Factory New),74886,74886,40264
★ Bayonet | Urban Masked (Minimal Wear),30417,30417,25102
AK-47 | Frontside Misty (Minimal Wear),5409,5974,4197
★ Moto Gloves | Polygon (Battle-Scarred),15946,16777,13129
★ Bayonet | Stained (Minimal Wear),30520,30520,25890
★ Flip Knife | Night (Field-Tested),22350,22350,17966
★ Kukri Knife | Case Hardened (Battle-Scarred),16322,18134,12882
★ Hand Wraps | Overprint (Battle-Scarred),13945,15346,10425
★ Stiletto Knife | Ultraviolet (Well-Worn),29517,29517,25167
M4A1-S | Mecha Industries (Field-Tested),11133,18930,14986
Desert Eagle | Code Red (Field-Tested),7762,8751,6736
AWP | Crakow! (Well-Worn),3798,4117,3084
★ Flip Knife | Black Laminate (Well-Worn),21788,25040,18710
AWP | Graphite (Factory New),35441,35441,30786
Operator | FBI SWAT,1947,2014,1485
M4A4 | 龍王 (Dragon King) (Field-Tested),2667,2865,1986
AWP | Oni Taiji (Minimal Wear),74882,74882,71971
M4A1-S | Chantico's Fire (Field-Tested),11058,20059,15871
★ Huntsman Knife | Damascus Steel (Field-Tested),15604,17946,13232
★ Huntsman Knife | Autotronic (Battle-Scarred),16216,17702,13669
★ Navaja Knife | Doppler Phase 1 (Factory New),22764,22942,12479
M4A4 | Temukau (Factory New),21378,21378,16806
Desert Eagle | Mecha Industries (Field-Tested),978,1127,767
★ Shadow Daggers | Bright Water (Field-Tested),7041,7988,5400
AK-47 | Case Hardened (Battle-Scarred),33008,33008,25550
AWP | BOOM (Field-Tested),19602,19602,15000
★ Paracord Knife | Urban Masked (Field-Tested),9016,9899,7154
★ Kukri Knife | Stained (Well-Worn),11085,12363,9063
M4A1-S | Hyper Beast (Field-Tested),18788,18788,15481
M4A4 | Asiimov (Field-Tested),36003,36003,27954
★ Kukri Knife | Blue Steel (Well-Worn),13903,15111,11357
Trapper Aggressor | Guerrilla Warfare,4598,5033,3424
★ Falchion Knife | Crimson Web (Field-Tested),19974,19974,17200
★ Flip Knife | Urban Masked (Field-Tested),21352,21352,17000
AK-47 | Aphrodite (Minimal Wear),8163,8592,6965
M4A1-S | Nightmare (Minimal Wear),4770,5039,3545
★ Bowie Knife | Freehand (Minimal Wear),13230,13230,10913
Desert Eagle | Cobalt Disruption (Factory New),30062,30559,22485
M4A1-S | Mecha Industries (Minimal Wear),19821,19821,15757
AK-47 | Aquamarine Revenge (Well-Worn),5875,5875,4500
★ Kukri Knife | Stained (Battle-Scarred),10881,10881,8219
★ Shadow Daggers | Doppler Phase 1 (Factory New),24245,24245,13577
★ Navaja Knife | Doppler Phase 4 (Factory New),21682,21682,12364
★ Specialist Gloves | Buckshot (Battle-Scarred),8545,9671,6568
★ Nomad Knife | Urban Masked (Well-Worn),17685,17685,13351
★ Skeleton Knife | Safari Mesh (Well-Worn),20018,20018,16019
Michael Syfers  | FBI Sniper,2667,2833,2082
USP-S | Jawbreaker (Field-Tested),658,768,508
★ Flip Knife | Case Hardened (Field-Tested),29014,29014,23379
★ Flip Knife | Ultraviolet (Battle-Scarred),21694,21694,17470
★ Huntsman Knife | Black Laminate (Well-Worn),11457,13672,9100
★ Shadow Daggers | Freehand (Field-Tested),8259,9671,6780
★ Navaja Knife | Fade (Factory New),18263,18263,14840
★ StatTrak™ Stiletto Knife | Rust Coat (Battle-Scarred),25350,25350,20000
★ Falchion Knife | Black Laminate (Battle-Scarred),11731,12377,8815
★ Bowie Knife | Bright Water (Minimal Wear),10451,11801,8755
★ Ursus Knife | Slaughter (Field-Tested),31177,31177,26640
AWP | LongDog (Minimal Wear),58007,58007,45000
StatTrak™ AK-47 | Asiimov (Field-Tested),11529,12589,9453
★ Driver Gloves | Queen Jaguar (Battle-Scarred),8751,10024,7089
★ Hand Wraps | Overprint (Minimal Wear),28725,28725,21990
★ Falchion Knife | Case Hardened (Field-Tested),29871,29871,24000
AK-47 | Slate (Minimal Wear),1295,1412,945
★ Huntsman Knife | Freehand (Factory New),16294,17529,12117
★ Ursus Knife | Case Hardened (Minimal Wear),27531,27531,21100
★ Bayonet | Crimson Web (Well-Worn),36384,36384,31395
M4A1-S | Decimator (Minimal Wear),1898,4017,2775
★ Bowie Knife | Ultraviolet (Field-Tested),11097,12031,9032
AWP | LongDog (Field-Tested),29354,29354,23977
