Name,Price,Store Price,Store Base Price
Sticker | jkaem (Gold) | London 2018,43157,43157,23176
Sticker Slab | drop | Shanghai 2024,323,323,34254
MP9 | Dart (Well-Worn),260,260,133
Sticker | MOUZ (Foil) | Austin 2025,19,19,11
Sticker Slab | Aeldari 1,2493,2493,2
Sticker Slab | Twistzz | Antwerp 2022,2499,2499,2
Sticker | mopoz (Gold) | Copenhagen 2024,241,241,262
R8 Revolver | Canal Spray (Factory New),5757,5757,2530
★ Broken Fang Gloves | Yellow-banded (Well-Worn),8966,10347,7537
Nova | Clear Polymer (Well-Worn),525,525,440
"StatTrak™ Music Kit | Austin Wintory, Desert Fire",934,996,743
★ Huntsman Knife | Slaughter (Field-Tested),34056,34056,36530
StatTrak™ MP9 | Food Chain (Minimal Wear),2572,2808,1920
StatTrak™ MP5-SD | Gauss (Well-Worn),103,103,80
Galil AR | Akoben (Minimal Wear),93,93,74
StatTrak™ Tec-9 | Ice Cap (Battle-Scarred),101,101,73
Sticker | Hobbit (Foil) | Boston 2018,1195,1195,1012
Sticker | keshandr | Krakow 2017,1815,1815,1257
Sticker | xccurate (Foil) | London 2018,980,980,955
StatTrak™ Glock-18 | Bunsen Burner (Factory New),1663,1663,1255
★ Butterfly Knife | Lore (Battle-Scarred),100946,106487,79847
Sticker | jdm64 | Cologne 2015,2820,2820,783
★ Falchion Knife | Stained (Minimal Wear),17427,19397,14900
StatTrak™ MP7 | Cirrus (Factory New),1361,1361,989
Sticker Slab | Hello MP9 (Gold),4860,4860,2
MP5-SD | Acid Wash (Field-Tested),242,242,176
StatTrak™ Five-SeveN | Hyper Beast (Minimal Wear),57561,57561,40500
Sticker | History (Gold) | Paris 2023,203,203,141
Sticker | Luminosity Gaming | MLG Columbus 2016,3062,3062,2396
Sticker | n1ssim (Holo) | Budapest 2025,374,374,365
Sticker | Complexity Gaming (Gold) | Antwerp 2022,484,547,408
★ StatTrak™ Classic Knife | Fade (Factory New),59177,62094,56355
Negev | Palm (Battle-Scarred),2736,2736,648
Sticker | The Spartan,47,47,36
StatTrak™ PP-Bizon | Fuel Rod (Minimal Wear),686,735,566
Sticker | k0nfig (Holo) | Paris 2023,42,42,32
Souvenir PP-Bizon | Chemical Green (Battle-Scarred),488,488,253
Sticker Slab | EliGE (Holo) | Austin 2025,422,422,230
★ Huntsman Knife | Freehand (Battle-Scarred),13420,13420,9846
★ Talon Knife | Blue Steel (Well-Worn),69077,71689,57916
UMP-45 | Oscillator (Field-Tested),40,40,38
Sticker | nicoodoz (Holo) | Antwerp 2022,149,149,93
★ Specialist Gloves | Crimson Kimono (Minimal Wear),506500,506500,277396
Sticker | Cyber Chicken (Holo),83,83,60
R8 Revolver | Banana Cannon (Minimal Wear),158,158,126
Tec-9 | Jambiya (Field-Tested),145,145,116
★ StatTrak™ Stiletto Knife | Scorched (Battle-Scarred),31656,31656,17090
StatTrak™ M4A1-S | Vaporwave (Battle-Scarred),15360,17191,11726
Five-SeveN | Midnight Paintover (Minimal Wear),16,16,8
Souvenir Desert Eagle | Tilted (Minimal Wear),348,348,198
Sticker | Flash Gaming (Foil) | Boston 2018,12890,12890,10000
StatTrak™ SCAR-20 | Enforcer (Field-Tested),158,232,134
★ Hydra Gloves | Mangrove (Well-Worn),6261,6261,4900
Sticker | felps | Boston 2018,226,268,196
Sticker | v$m (Gold) | Paris 2023,438,438,375
PP-Bizon | Blue Streak (Well-Worn),712,808,421
Sticker | Team Liquid | Stockholm 2021,14,14,8
★ StatTrak™ Classic Knife | Night Stripe (Battle-Scarred),24464,24464,12736
R8 Revolver | Dark Chamber (Field-Tested),6,6,4
Sticker Slab | Joan,2499,2499,89
★ StatTrak™ Paracord Knife | Slaughter (Factory New),39949,39949,26896
Sticker | Golden | Katowice 2019,199,199,155
StatTrak™ FAMAS | Survivor Z (Field-Tested),184,184,131
"Sticker | iM (Gold, Champion) | Copenhagen 2024",368,420,292
StatTrak™ UMP-45 | Wild Child (Factory New),3294,3294,2650
★ Ursus Knife | Stained (Field-Tested),14674,14674,13000
StatTrak™ MP7 | Powercore (Minimal Wear),1030,1383,765
Sticker | Twistzz (Gold) | Austin 2025,1063,1182,1097
P2000 | Urban Hazard (Factory New),459,459,403
StatTrak™ Galil AR | Sugar Rush (Minimal Wear),21871,21871,11862
"Sticker | rain (Holo, Champion) | Antwerp 2022",346,366,266
Masterminds Music Kit Box,730,730,593
Souvenir MAC-10 | Pipsqueak (Minimal Wear),374,374,215
Sticker Slab | electroNic (Gold) | Stockholm 2021,23024,23024,17500
Sticker Slab | Phoenix Reborn,190,190,163
StatTrak™ P250 | Ripple (Well-Worn),76,76,52
Sticker | Ork Waaagh!,32,32,23
StatTrak™ PP-Bizon | Lumen (Field-Tested),184,196,157
Sticker | pashaBiceps | Cologne 2016,2877,2877,1613
Sticker | Techno4K (Gold) | Antwerp 2022,403,403,202
FAMAS | Prime Conspiracy (Minimal Wear),13732,15772,10604
★ StatTrak™ Butterfly Knife | Black Laminate (Field-Tested),127686,130950,92000
Patch | Rage,739,739,613
Sticker Slab | apEX (Gold) | Austin 2025,3196,3196,2
Sticker Slab | LUCAS1 (Foil) | Berlin 2019,3709,3709,549
StatTrak™ Negev | Power Loader (Battle-Scarred),346,346,269
Sticker | Twistzz (Glitter) | Antwerp 2022,37,37,25
Sticker Slab | Inquisition,3709,3709,2
Sticker | Team Liquid (Holo) | Antwerp 2022,554,1081,922
Sticker | tarik | Cologne 2016,8607,8607,3672
★ Bowie Knife | Freehand (Battle-Scarred),12054,12054,10502
StatTrak™ P90 | Desert Warfare (Minimal Wear),843,843,503
USP-S | Bleeding Edge (Minimal Wear),657,657,484
StatTrak™ Five-SeveN | Violent Daimyo (Factory New),753,808,540
★ StatTrak™ Talon Knife | Rust Coat (Well-Worn),74830,74830,35058
AWP | Duality (Minimal Wear),957,1134,760
StatTrak™ G3SG1 | Demeter (Minimal Wear),1208,1872,916
Sticker | Team LDLC.com | DreamHack 2014,8742,8742,7399
★ Bloodhound Gloves | Bronzed (Field-Tested),50402,52613,41095
"Sticker | zont1x (Gold, Champion) | Shanghai 2024",528,576,454
Sticker | Pink Jaggyfish,278,289,248
M4A1-S | Stratosphere (Field-Tested),933,933,705
Sticker Slab | TeSeS (Glitter) | Antwerp 2022,2499,2499,73
★ StatTrak™ Bowie Knife | Ultraviolet (Field-Tested),14224,14224,12788
Sticker Slab | hades (Foil) | Austin 2025,2470,2470,2
StatTrak™ M4A4 | 龍王 (Dragon King) (Well-Worn),11455,11455,5791
StatTrak™ SSG 08 | Necropos (Battle-Scarred),129,129,103
Sticker | Nice Shot,292,292,241
SSG 08 | Calligrafaux (Factory New),281,317,207
★ Butterfly Knife | Blue Steel (Minimal Wear),171206,171206,148357
Sticker | Forester (Gold) | Berlin 2019,5757,5757,5000
Souvenir AK-47 | Green Laminate (Minimal Wear),3743,3743,2427
Sticker | T Rush (Holo),245,245,185
Sticker | Fnatic (Foil) | Katowice 2015,21012,21012,12653
★ Flip Knife | Black Laminate (Minimal Wear),25145,27487,21303
Five-SeveN | Midnight Paintover (Battle-Scarred),7,7,6
StatTrak™ AUG | Stymphalian (Factory New),2287,2592,1887
Dual Berettas | Marina (Field-Tested),1125,1239,904
StatTrak™ M249 | Aztec (Factory New),791,791,600
"StatTrak™ Music Kit | Killer Mike, MICHAEL",4131,4233,3047
Desert Eagle | Ocean Drive (Factory New),69287,71894,56975
★ Bowie Knife | Forest DDPAT (Battle-Scarred),10325,13798,7903
Desert Eagle | Code Red (Factory New),35969,35969,33650
Souvenir AWP | Dragon Lore (Factory New),2503854,2503854,1298351
M4A1-S | Leaded Glass (Minimal Wear),1781,2054,1407
Sticker Slab | EliGE (Foil) | Katowice 2019,1440,1440,3577
Sticker | Ethan (Gold) | Katowice 2019,35171,35171,19066
★ Nomad Knife | Boreal Forest (Battle-Scarred),14202,15831,12026
StatTrak™ Nova | Ranger (Field-Tested),77,77,59
P90 | Freight (Factory New),160,160,130
StatTrak™ Tec-9 | Bamboozle (Well-Worn),342,363,204
★ Shadow Daggers | Damascus Steel (Minimal Wear),8906,8906,7423
Sticker | Luminosity Gaming (Holo) | MLG Columbus 2016,16325,16325,11940
Glock-18 | Pink DDPAT (Well-Worn),3270,3270,1989
★ Nomad Knife | Fade (Minimal Wear),59598,59598,45557
Rio 2022 Overpass Souvenir Package,865,870,663
StatTrak™ P2000 | Wicked Sick (Well-Worn),481,568,397
"Sticker | Aleksib (Holo, Champion) | Copenhagen 2024",145,145,111
FAMAS | Half Sleeve (Battle-Scarred),8,8,8
StatTrak™ Sawed-Off | Highwayman (Factory New),2447,2447,1600
StatTrak™ Nova | Antique (Field-Tested),3092,3092,1829
Operation Hydra Access Pass,4512,4512,3363
Souvenir Glock-18 | Ramese's Reach (Factory New),25285,25285,19719
StatTrak™ XM1014 | Entombed (Factory New),1663,1663,1313
P250 | Apep's Curse (Minimal Wear),16078,17271,14181
Dual Berettas | Shred (Well-Worn),59,59,40
Sticker | NiKo (Glitter) | Paris 2023,63,63,48
Souvenir Dual Berettas | Briar (Minimal Wear),445,445,307
★ Skeleton Knife | Boreal Forest (Minimal Wear),23906,23906,18558
StatTrak™ Tec-9 | Decimator (Minimal Wear),14894,14894,11871
StatTrak™ M249 | Hypnosis (Battle-Scarred),33,33,25
M4A4 | Cyber Security (Factory New),33415,33415,25675
AK-47 | Jungle Spray (Battle-Scarred),1286,1697,955
Souvenir XM1014 | Bone Machine (Field-Tested),2158,2155,1369
Sticker | tiziaN | London 2018,198,258,110
StatTrak™ Sawed-Off | Orange DDPAT (Well-Worn),5470,5470,2340
USP-S | Royal Guard (Factory New),1507,1507,1073
Sticker Slab | adamS (Holo) | Copenhagen 2024,19154,19154,10383
Sticker | electronic (Foil) | Boston 2018,1872,1872,1133
M4A1-S | Blue Phosphor (Minimal Wear),141009,141009,153697
M249 | Spectre (Battle-Scarred),62,62,49
Galil AR | Cerberus (Field-Tested),6295,6295,4790
AK-47 | Vulcan (Well-Worn),25591,27584,20440
Glock-18 | Red Tire (Minimal Wear),618,622,440
★ StatTrak™ Falchion Knife | Bright Water (Factory New),19872,19872,16400
MP9 | Airlock (Minimal Wear),2218,2411,1799
★ Karambit | Autotronic (Battle-Scarred),134316,143268,100000
SSG 08 | Turbo Peek (Well-Worn),3278,3278,2283
StatTrak™ M249 | Nebula Crusader (Field-Tested),485,485,337
AUG | Colony (Field-Tested),678,678,262
Sticker | NEO | Atlanta 2017,834,834,491
Sticker | Xizt | Cologne 2015,342,359,288
★ Butterfly Knife | Ultraviolet (Well-Worn),108616,108616,59469
Sticker | ScreaM | MLG Columbus 2016,14391,14391,12634
Nova | Yorkshire (Minimal Wear),118,118,101
Charm | Lil' Monster,865,865,621
AWP | Silk Tiger (Battle-Scarred),51777,51777,20030
CZ75-Auto | Copper Fiber (Factory New),83,83,66
M4A4 | Choppa (Battle-Scarred),12,12,10
Sticker | Aleksib (Holo) | Copenhagen 2024,172,172,146
Sticker | Camper (Foil),635,635,289
Sticker | SunPayus (Gold) | Budapest 2025,488,488,256
Sticker | Phoenix Balaclava Co. (Holo),209,209,195
Sticker | kRaSnaL (Gold) | Paris 2023,157,157,138
Sticker Slab | FaZe Clan | Antwerp 2022,545,545,97
"StatTrak™ Music Kit | Juelz, Shooters",222,222,168
Sticker Slab | Hippocamp,315,315,73
M249 | Gator Mesh (Factory New),37,37,32
★ Stiletto Knife | Doppler Phase 4 (Minimal Wear),109351,109351,63046
StatTrak™ XM1014 | Seasons (Well-Worn),537,663,393
AUG | Plague (Minimal Wear),349,349,316
★ Gut Knife | Stained (Battle-Scarred),10218,10218,7792
StatTrak™ P250 | Contaminant (Factory New),500,500,383
Sticker | Grim (Glitter) | Copenhagen 2024,11,11,7
★ M9 Bayonet | Scorched (Well-Worn),56277,56277,32123
Sticker | qikert (Glitter) | Antwerp 2022,29,29,19
★ Specialist Gloves | Lime Polycam (Field-Tested),69002,69002,50600
Sticker | DJ Safecracker (Lenticular),415,462,336
UMP-45 | Riot (Minimal Wear),90,90,75
Sticker | Zeus | Katowice 2019,76,76,59
Tec-9 | Toxic (Minimal Wear),3655,3655,2398
Sticker Slab | nicoodoz | Paris 2023,2500,2500,70
MP7 | Armor Core (Minimal Wear),89,89,72
★ M9 Bayonet | Bright Water (Battle-Scarred),58689,63302,34132
Desert Eagle | Directive (Minimal Wear),1373,1373,1104
Five-SeveN | Nitro (Well-Worn),7484,7484,3672
M249 | Bock Blocks (Battle-Scarred),12,12,11
Sticker Slab | siuhy (Glitter) | Copenhagen 2024,2500,2500,2
★ Bayonet | Doppler Phase 2 (Minimal Wear),115106,115106,59378
★ StatTrak™ Ursus Knife | Safari Mesh (Field-Tested),11309,16965,9990
XM1014 | Elegant Vines (Factory New),6564,6564,4487
CZ75-Auto | Pole Position (Battle-Scarred),176,176,126
★ StatTrak™ M9 Bayonet | Black Laminate (Field-Tested),100575,100575,49787
FAMAS | Roll Cage (Well-Worn),17893,21371,14000
StatTrak™ PP-Bizon | Fuel Rod (Field-Tested),328,328,354
MAC-10 | Strats (Well-Worn),210,439,154
Sticker | G2 Esports (Holo) | Paris 2023,192,266,197
Sticker | TACO (Gold) | Rio 2022,2493,2493,2474
Sticker Slab | k0nfig | Krakow 2017,4860,4860,2
StatTrak™ AK-47 | Point Disarray (Battle-Scarred),5153,5153,4101
Sealed Graffiti | Denied (Desert Amber),32,32,37
Souvenir Charm | Austin 2025 Highlight | Own Fire,260,260,112
StatTrak™ MAC-10 | Heat (Field-Tested),1007,1172,720
Sticker | qikert (Glitter) | Rio 2022,216,279,124
FAMAS | 2A2F (Minimal Wear),272,276,219
★ Falchion Knife | Bright Water (Factory New),15164,15164,12559
StatTrak™ USP-S | PC-GRN (Well-Worn),35,35,27
Sticker | zevy (Gold) | Paris 2023,148,148,133
StatTrak™ AK-47 | Vulcan (Battle-Scarred),34796,42243,27787
M249 | Magma (Field-Tested),266,266,200
Sealed Graffiti | Puke (Wire Blue),51,51,70
Sticker | chrisJ (Gold) | Berlin 2019,5166,5166,1995
Souvenir Sawed-Off | Brake Light (Minimal Wear),1001,1001,339
Souvenir Nova | Interlock (Battle-Scarred),1296,1296,681
★ StatTrak™ Karambit | Freehand (Minimal Wear),111625,111625,60293
Sticker | fitch (Foil) | Katowice 2019,676,676,589
M4A1-S | Guardian (Factory New),15143,15143,11388
"Sticker Slab | ZywOo (Holo, Champion) | Austin 2025",346,346,176
P2000 | Turf (Battle-Scarred),84,84,72
XM1014 | Red Python (Well-Worn),865,865,443
Sticker | BUDA (Glitter) | Rio 2022,36,36,40
StatTrak™ MP5-SD | Kitbash (Well-Worn),99,99,73
Glock-18 | Groundwater (Factory New),19572,19572,15281
UMP-45 | Caramel (Field-Tested),1671,2246,1450
Souvenir M4A1-S | Welcome to the Jungle (Well-Worn),121165,121165,61025
Sticker | NRG | Berlin 2019,369,416,269
Sticker | Team Liquid (Foil) | Berlin 2019,361,361,330
★ Bowie Knife | Tiger Tooth (Minimal Wear),31631,31631,24486
SG 553 | Triarch (Factory New),1125,1125,881
Sticker | Renegades (Gold) | Stockholm 2021,692,779,623
★ StatTrak™ Paracord Knife | Crimson Web (Minimal Wear),30887,57532,24800
Tec-9 | Toxic (Field-Tested),2373,2793,1668
XM1014 | XOXO (Well-Worn),525,635,441
Sticker | forZe eSports (Foil) | Berlin 2019,302,302,269
Sticker | TeSeS | Stockholm 2021,46,46,38
Sticker | gla1ve | Krakow 2017,450,481,283
StatTrak™ MP9 | Broken Record (Field-Tested),43,43,32
Sticker | shox (Gold) | Berlin 2019,1953,1953,1730
Horizon Case Key,2546,2546,1812
★ Karambit | Fade (Minimal Wear),395683,395683,209526
StatTrak™ AK-47 | Blue Laminate (Field-Tested),6130,6815,4524
Sticker | Attacker (Foil) | Katowice 2019,802,876,674
MAC-10 | Disco Tech (Minimal Wear),1409,1409,1070
Sticker Slab | Tamara (Holo),519,519,351
G3SG1 | Ventilator (Field-Tested),41,41,31
P250 | Hive (Factory New),3730,3730,2843
Sticker Slab | ropz (Champion) | Budapest 2025,190,190,73
M4A4 | Temukau (Well-Worn),5239,6088,4396
Sticker | 3DMAX | Katowice 2015,13495,13495,9182
"StatTrak™ Music Kit | AWOLNATION, I Am",908,1117,753
StatTrak™ PP-Bizon | High Roller (Battle-Scarred),1483,1483,1199
PP-Bizon | Fuel Rod (Factory New),1262,1393,973
Sticker | Virtus.pro (Gold) | 2020 RMR,373,397,243
Sticker | Magisk (Gold) | Rio 2022,836,836,658
★ Specialist Gloves | Chocolate Chesterfield (Field-Tested),20970,22536,15986
StatTrak™ PP-Bizon | Night Riot (Field-Tested),23,23,15
Sticker Slab | MIBR (Holo) | Berlin 2019,3709,3709,483
CZ75-Auto | Twist (Field-Tested),189,226,128
AUG | Luxe Trim (Field-Tested),40,40,36
★ Karambit | Case Hardened (Minimal Wear),166925,169912,144432
Sticker Slab | FalleN | MLG Columbus 2016,4174,4174,6756
Berlin 2019 Legends Autograph Capsule,221,224,176
P90 | Reef Grief (Field-Tested),34,34,29
Sticker | freakazoid | Cologne 2015,716,716,920
Sticker | Fluxo (Holo) | Paris 2023,280,280,241
Sticker | Sherry (Holo),292,292,222
M4A4 | Global Offensive (Field-Tested),2758,3114,2443
AK-47 | Emerald Pinstripe (Battle-Scarred),248,408,293
Sticker | Titan (Holo) | Katowice 2015,91617,99566,86774
Sticker | Bubble Gum Skill Surf (Holo),1167,1351,794
Sticker | roeJ (Gold) | Rio 2022,1336,1336,519
Sticker Slab | buster (Holo) | Stockholm 2021,2493,2493,2
Sticker | Team Spirit (Gold) | Rio 2022,1025,1025,911
StatTrak™ P90 | Traction (Minimal Wear),162,162,138
★ Hand Wraps | Slaughter (Field-Tested),127267,127267,93998
★ Flip Knife | Autotronic (Minimal Wear),44026,45762,33718
Sticker | Digi-Strike (Lenticular),916,916,601
Sticker | Team SoloMid (Foil) | Cologne 2015,2730,2730,1188
★ StatTrak™ Huntsman Knife | Autotronic (Field-Tested),19689,21299,15525
Patch | Tyloo | Stockholm 2021,965,965,745
StatTrak™ USP-S | Cyrex (Minimal Wear),1581,1870,1207
P250 | Contaminant (Battle-Scarred),90,90,74
★ Bowie Knife | Urban Masked (Well-Worn),10707,10707,9363
Sticker | stavn (Holo) | Antwerp 2022,123,123,83
Sticker Slab | God of Fortune,230,230,200
★ StatTrak™ Kukri Knife | Crimson Web (Field-Tested),18953,18953,14204
Sticker | SunPayus (Holo) | Budapest 2025,51,51,34
Sticker | hades (Gold) | Paris 2023,245,245,220
Five-SeveN | Hyper Beast (Battle-Scarred),49340,49340,40882
Desert Eagle | Urban Rubble (Well-Worn),48,48,34
Sticker | torzsi (Gold) | Austin 2025,203,203,204
Sticker | Passion UA (Holo) | Shanghai 2024,1169,1296,945
SG 553 | Candy Apple (Field-Tested),934,934,673
Galil AR | Firefight (Well-Worn),171,230,138
Sticker Slab | Apeks (Holo) | Paris 2023,576,576,244
M4A1-S | Nitro (Factory New),5393,5772,4176
★ Ursus Knife | Stained (Factory New),22969,30366,20934
SSG 08 | Azure Glyph (Minimal Wear),198,217,152
Sticker Slab | zont1x | Copenhagen 2024,2500,2500,2
CZ75-Auto | Red Astor (Factory New),1179,1307,932
Sticker | EliGE (Glitter) | Shanghai 2024,40,40,26
StatTrak™ Glock-18 | Sacrifice (Minimal Wear),202,258,161
Sticker | paiN Gaming (Gold) | Shanghai 2024,435,456,363
Galil AR | Eco (Field-Tested),2192,2430,1699
MAG-7 | Seabird (Field-Tested),842,1296,639
Sticker | G2 Esports (Gold) | Copenhagen 2024,627,627,549
Sticker | jks (Gold) | Berlin 2019,3385,3385,4566
Sticker | Noble (Holo),163,163,115
Sticker | G2 Esports (Glitter) | Antwerp 2022,50,50,40
Sticker | G2 Esports (Holo) | Atlanta 2017,12154,14362,12535
Sticker | Sharks Esports | Stockholm 2021,25,25,15
Tec-9 | Blast From the Past (Minimal Wear),869,869,786
Sticker | shox (Gold) | Stockholm 2021,1123,1123,1039
StatTrak™ UMP-45 | Motorized (Battle-Scarred),15,15,11
StatTrak™ MP5-SD | Statics (Factory New),435,435,335
Sticker | s1mple (Foil) | London 2018,4894,5556,3107
Sticker | Ax1Le (Glitter) | Rio 2022,22,22,16
Desert Eagle | Tilted (Well-Worn),32,32,19
Sticker | Natus Vincere (Foil) | Cologne 2015,2832,2832,2227
StatTrak™ Galil AR | Crimson Tsunami (Battle-Scarred),746,746,492
StatTrak™ Negev | Prototype (Field-Tested),27,27,24
Glock-18 | Fade (Factory New),359983,359983,205368
Sticker Slab | kensizor | Budapest 2025,2535,2535,2
Galil AR | Hunting Blind (Field-Tested),390,390,261
London 2018 Legends (Holo-Foil),3944,3944,2720
StatTrak™ Nova | Ocular (Factory New),1261,1446,971
CZ75-Auto | Syndicate (Field-Tested),1337,1337,1035
Sticker Slab | MIBR (Gold) | Budapest 2025,260,260,181
XM1014 | Heaven Guard (Factory New),3155,3384,2209
Glock-18 | Snack Attack (Minimal Wear),6013,6376,5110
★ M9 Bayonet | Doppler Phase 1 (Factory New),191849,193657,102580
StatTrak™ Galil AR | Galigator (Minimal Wear),624,646,460
Dual Berettas | Rose Nacre (Factory New),36,36,32
Sticker Slab | kennyS (Foil) | Cologne 2015,28781,28781,15602
Sticker | Snax | Cologne 2015,1585,1585,837
★ StatTrak™ Survival Knife | Night Stripe (Field-Tested),11120,11120,9000
Sticker | Purple Jaggyfish,285,321,268
Sticker | gxx- (Glitter) | Antwerp 2022,13,13,20
Glock-18 | Catacombs (Well-Worn),170,170,119
CZ75-Auto | Indigo (Well-Worn),661,661,253
StatTrak™ SCAR-20 | Outbreak (Factory New),222,260,149
Sticker Slab | npl | Austin 2025,2535,2535,83
"Music Kit | ISOxo, inhuman",813,980,623
★ Talon Knife | Ultraviolet (Field-Tested),50121,50121,40171
M4A1-S | Flashback (Battle-Scarred),583,583,443
MP7 | Prey (Factory New),178,178,149
Dual Berettas | Sweet Little Angels (Well-Worn),360,416,340
★ Driver Gloves | Snow Leopard (Minimal Wear),116272,120109,85518
SSG 08 | Dezastre (Battle-Scarred),11,11,8
★ StatTrak™ Ursus Knife | Blue Steel (Battle-Scarred),20695,20695,11300
StatTrak™ Tec-9 | Rebel (Field-Tested),17,17,13
★ Karambit | Scorched (Minimal Wear),87047,96372,68277
Sticker Slab | regali (Foil) | Austin 2025,260,260,141
AUG | Eye of Zapems (Well-Worn),379,379,306
StatTrak™ M4A4 | Cyber Security (Well-Worn),5006,5006,3768
Sticker Slab | Smoke Criminal,479,479,379
MP7 | Teal Blossom (Factory New),19070,21124,15172
AUG | Death by Puppy (Well-Worn),1185,1185,821
★ StatTrak™ Stiletto Knife | Boreal Forest (Field-Tested),24003,34536,18382
Sticker | Perfecto (Holo) | Paris 2023,115,115,105
Tec-9 | Avalanche (Field-Tested),460,460,333
Sticker | TACO (Foil) | Katowice 2019,469,477,454
Sticker | huNter- (Gold) | Budapest 2025,456,456,292
StatTrak™ FAMAS | ZX Spectron (Factory New),6536,7095,5457
Sticker | xKacpersky (Gold) | Budapest 2025,2554,2554,1362
StatTrak™ MP7 | Armor Core (Minimal Wear),198,198,140
Souvenir AUG | Sand Storm (Well-Worn),3139,3139,2267
StatTrak™ Glock-18 | Wraiths (Minimal Wear),414,414,327
StatTrak™ AK-47 | Nightwish (Well-Worn),9815,11109,8667
StatTrak™ Dual Berettas | Tread (Battle-Scarred),127,127,106
StatTrak™ SCAR-20 | Outbreak (Minimal Wear),135,135,82
